,Unnamed: 0,title,vote_average,genres
273,273,Miracle on 34th Street,6.4,Fantasy
274,274,Miami Rhapsody,5.6,Comedy
275,275,My Family,7.0,Comedy
276,276,Murder in the First,6.9,Crime
277,277,Nobody's Fool,7.0,Drama
278,278,Nell,6.1,Drama
279,279,New Jersey Drive,6.9,Crime
280,280,New York Cop,0.0,Action
281,281,Beyond Bedlam,4.0,Horror
282,282,Nemesis 2 - Nebula,4.6,Science Fiction
283,283,Nina Takes a Lover,7.4,Drama
284,284,Natural Born Killers,6.9,Crime
285,285,Only You,6.4,Comedy
286,286,Once Were Warriors,7.6,Drama
287,287,Poison Ivy II: Lily,4.6,Drama
288,288,Outbreak,6.4,Action
289,289,Leon: The Professional,8.2,Thriller
290,290,The Perez Family,6.6,Comedy
291,291,A Pyromaniac's Love Story,7.0,Comedy
292,292,Pulp Fiction,8.3,Thriller
293,293,Panther,6.4,Drama
294,294,Pushing Hands,6.1,Comedy
295,295,Priest,6.4,Drama
296,296,Quiz Show,7.1,History
297,297,Picture Bride,7.4,Drama
298,298,Queen Margot,7.0,Drama
299,299,The Quick and the Dead,6.2,Action
300,300,Roommates,6.4,Drama
301,301,Prêt-à-Porter,5.3,Drama
302,302,Three Colors: Red,7.8,Drama
303,303,Three Colors: Blue,7.7,Drama
304,304,Three Colors: White,7.3,Comedy
305,305,"Red Firecracker, Green Firecracker",7.0,Drama
306,306,Rent-a-Kid,5.1,Comedy
307,307,Relative Fear,4.7,Horror
308,308,Stuart Saves His Family,5.0,Comedy
309,309,The Swan Princess,6.5,Animation
310,310,The Secret of Roan Inish,6.1,Drama
311,311,The Specialist,5.5,Action
312,312,Stargate,6.8,Action
313,313,The Santa Clause,6.3,Fantasy
314,314,The Shawshank Redemption,8.5,Drama
315,315,Shallow Grave,7.0,Crime
316,316,Suture,6.0,Drama
317,317,Strawberry and Chocolate,7.1,Comedy
318,318,Swimming with Sharks,6.7,Crime
319,319,The Sum of Us,6.0,Comedy
320,320,Senior Trip,5.7,Comedy
321,321,To Live,7.7,Drama
322,322,Tank Girl,5.5,Action
323,323,Tales from the Crypt: Demon Knight,6.7,Horror
324,324,Star Trek: Generations,6.4,Science Fiction
325,325,Tales from the Hood,5.4,Crime
326,326,Tom & Viv,5.8,Drama
327,327,Village of the Damned,5.6,Thriller
328,328,Tommy Boy,6.8,Comedy
329,329,Vanya on 42nd Street,6.1,Drama
330,330,The Underneath,5.6,Thriller
331,331,The Walking Dead,6.6,Drama
332,332,What's Eating Gilbert Grape,7.5,Romance
333,333,Virtuosity,5.4,Action
334,334,While You Were Sleeping,6.5,Comedy
335,335,The War,6.3,Drama
336,336,Double Happiness,5.5,Comedy
337,337,Muriel's Wedding,6.9,Drama
338,338,The Baby-Sitters Club,5.3,Comedy
339,339,Ace Ventura: Pet Detective,6.4,Comedy
340,340,"The Adventures of Priscilla, Queen of the Desert",7.2,Drama
341,341,Backbeat,6.2,Drama
342,342,Bitter Moon,7.0,Thriller
343,343,Bullets Over Broadway,7.0,Action
344,344,Clear and Present Danger,6.4,Action
345,345,The Client,6.4,Drama
346,346,"Corrina, Corrina",6.4,Comedy
347,347,Crooklyn,6.7,Comedy
348,348,The Crow,7.3,Fantasy
349,349,Cobb,6.1,Drama
350,350,The Flintstones,5.0,Fantasy
351,351,Forrest Gump,8.2,Comedy
352,352,Four Weddings and a Funeral,6.6,Comedy
353,353,Higher Learning,6.4,Romance
354,354,I Like It Like That,6.3,Comedy
355,355,I Love Trouble,5.3,Action
356,356,It Could Happen to You,6.1,Comedy
357,357,The Jungle Book,5.9,Adventure
358,358,"The Wonderful, Horrible Life of Leni Riefenstahl",7.3,Documentary
359,359,The Lion King,8.0,Family
360,360,Little Buddha,6.0,Drama
361,361,New Nightmare,6.4,Horror
362,362,The Mask,6.6,Romance
363,363,Maverick,6.6,Action
364,364,Mrs. Parker and the Vicious Circle,6.3,Drama
365,365,The Naked Gun 33⅓: The Final Insult,6.4,Comedy
366,366,The Paper,6.1,Comedy
367,367,Reality Bites,6.5,Drama
368,368,Red Rock West,6.4,Crime
369,369,Ri¢hie Ri¢h,5.4,Comedy
370,370,Safe Passage,4.9,Drama
371,371,The River Wild,6.1,Action
372,372,Speed,6.8,Action
373,373,Speechless,5.5,Comedy
374,374,Timecop,5.5,Thriller
375,375,True Lies,6.8,Action
376,376,When a Man Loves a Woman,6.0,Drama
377,377,Wolf,6.0,Fantasy
378,378,Wyatt Earp,6.5,Drama
379,379,Bad Company,4.9,Action
380,380,A Man of No Importance,6.5,Comedy
381,381,S.F.W.,6.1,Comedy
382,382,A Low Down Dirty Shame,6.0,Action
383,383,"Boys Life: Three Stories of Love, Lust, and Liberation",2.0,Drama
384,384,Colonel Chabert,5.9,Drama
385,385,"Faster, Pussycat! Kill! Kill!",6.5,Action
386,386,Jason's Lyric,5.9,Crime
387,387,The Secret Adventures of Tom Thumb,7.1,Animation
388,388,Street Fighter,4.1,Action
389,389,Coldblooded,6.7,Action
390,390,Desert Winds,0.0,Sin Dato
391,391,Fall Time,6.3,Action
392,392,The Fear,3.4,Horror
393,393,Frank and Ollie,7.5,Documentary
394,394,Girl in the Cadillac,10.0,Romance
395,395,Homage,0.0,Thriller
396,396,Mirage,4.0,Action
397,397,Open Season,0.0,Comedy
398,398,Dos Crímenes,5.0,Sin Dato
399,399,Brother Minister: The Assassination of Malcolm X,4.0,Documentary
400,400,Highlander: The Final Dimension,4.5,Action
401,401,Federal Hill,5.0,Sin Dato
402,402,In the Mouth of Madness,7.1,Horror
403,403,8 Seconds,7.2,Drama
404,404,Above the Rim,6.7,Crime
405,405,Addams Family Values,6.5,Comedy
406,406,Martin Lawrence: You So Crazy,4.5,Comedy
407,407,The Age of Innocence,7.0,Drama
408,408,Airheads,5.8,Comedy
409,409,The Air Up There,5.1,Comedy
410,410,Another Stakeout,4.9,Action
411,411,Bad Girls,4.6,Action
412,412,Barcelona,6.6,Comedy
413,413,Being Human,5.0,Drama
414,414,The Beverly Hillbillies,5.0,Comedy
415,415,Beverly Hills Cop III,5.5,Action
416,416,Black Beauty,6.6,Action
417,417,Blink,6.3,Mystery
418,418,Blown Away,6.0,Drama
419,419,Blue Chips,5.7,Drama
420,420,Blue Sky,6.1,Drama
421,421,Body Snatchers,5.8,Horror
422,422,Boxing Helena,4.5,Drama
423,423,A Bronx Tale,7.4,Drama
424,424,Cabin Boy,4.9,Comedy
425,425,Calendar Girl,3.7,Drama
426,426,Carlito's Way,7.7,Action
427,427,City Slickers II: The Legend of Curly's Gold,4.9,Action
428,428,Clean Slate,5.7,Comedy
429,429,Cliffhanger,6.1,Action
430,430,Coneheads,4.8,Comedy
431,431,Color of Night,5.4,Drama
432,432,Cops & Robbersons,5.0,Action
433,433,The Cowboy Way,5.1,Western
434,434,Dangerous Game,5.4,Drama
435,435,Dave,6.3,Comedy
436,436,Dazed and Confused,7.4,Comedy
437,437,Demolition Man,6.4,Crime
438,438,The Endless Summer 2,7.1,Documentary
439,439,Even Cowgirls Get the Blues,4.2,Western
440,440,Fatal Instinct,5.4,Comedy
441,441,Farewell My Concubine,7.8,Drama
442,442,The Favor,3.3,Drama
443,443,Fearless,6.8,Drama
444,444,Fear of a Black Hat,5.8,Comedy
445,445,With Honors,6.1,Comedy
446,446,Flesh and Bone,6.2,Drama
447,447,Widows' Peak,4.3,Comedy
448,448,For Love or Money,5.7,Comedy
449,449,The Firm,6.6,Drama
450,450,Free Willy,6.0,Family
451,451,Fresh,7.6,Crime
452,452,The Fugitive,7.2,Adventure
453,453,Geronimo: An American Legend,5.9,History
454,454,The Getaway,5.4,Drama
455,455,Getting Even with Dad,4.5,Family
456,456,Go Fish,3.9,Drama
457,457,A Good Man in Africa,5.2,Comedy
458,458,Guilty as Sin,5.6,Drama
459,459,Hard Target,6.1,Action
460,460,Heaven & Earth,6.4,History
461,461,Hot Shots! Part Deux,6.2,Action
462,462,Live Nude Girls,4.7,Comedy
463,463,The Englishman Who Went Up a Hill But Came Down a Mountain,6.1,Drama
464,464,The House of the Spirits,6.7,Romance
465,465,House Party 3,4.6,Comedy
466,466,The Hudsucker Proxy,7.1,Comedy
467,467,I'll Do Anything,5.7,Comedy
468,468,In the Army Now,4.7,Comedy
469,469,In the Line of Fire,6.8,Action
470,470,In the Name of the Father,7.6,Drama
471,471,The Inkwell,3.9,Comedy
472,472,What's Love Got to Do with It,6.9,Drama
473,473,Jimmy Hollywood,4.6,Comedy
474,474,Judgment Night,6.4,Action
475,475,Jurassic Park,7.6,Adventure
476,476,Kalifornia,6.5,Thriller
477,477,Killing Zoe,6.1,Action
478,478,King of the Hill,6.4,Drama
479,479,Lassie,6.1,Action
480,480,Last Action Hero,6.1,Adventure
481,481,Life With Mikey,5.1,Comedy
482,482,Lightning Jack,5.7,Action
483,483,M. Butterfly,6.6,Drama
484,484,Made in America,5.3,Comedy
485,485,Malice,5.9,Drama
486,486,The Man without a Face,6.2,Drama
487,487,Manhattan Murder Mystery,7.1,Comedy
488,488,Menace II Society,7.2,Drama
489,489,Executive Decision,5.8,Action
490,490,In the Realm of the Senses,6.5,Drama
491,491,What Happened Was...,7.0,Thriller
492,492,Much Ado About Nothing,7.2,Drama
493,493,Mr. Jones,5.9,Drama
494,494,Mr. Wonderful,5.5,Comedy
495,495,Mrs. Doubtfire,7.0,Comedy
496,496,Naked,7.5,Comedy
497,497,The Next Karate Kid,4.8,Adventure
498,498,The New Age,4.8,Comedy
499,499,No Escape,6.1,Action
500,500,North,4.8,Comedy
501,501,Orlando,6.7,Romance
502,502,A Perfect World,7.2,Crime
503,503,Philadelphia,7.6,Drama
504,504,The Piano,7.1,Drama
505,505,Poetic Justice,6.9,Drama
506,506,The Program,6.0,Drama
507,507,The Puppet Masters,5.6,Horror
508,508,Radioland Murders,5.8,Comedy
509,509,The Ref,6.7,Comedy
510,510,The Remains of the Day,7.5,Drama
511,511,Renaissance Man,5.9,Comedy
512,512,Rising Sun,5.8,Action
513,513,The Road to Wellville,5.5,Comedy
514,514,RoboCop 3,4.2,Action
515,515,Robin Hood: Men in Tights,6.4,Comedy
516,516,Romeo Is Bleeding,5.7,Action
517,517,Romper Stomper,6.6,Action
518,518,Ruby in Paradise,5.6,Drama
519,519,Rudy,7.2,Drama
520,520,The Saint of Fort Washington,4.0,Drama
521,521,Savage Nights,6.2,Drama
522,522,Schindler's List,8.3,Drama
523,523,The Scout,5.3,Comedy
524,524,Searching for Bobby Fischer,7.3,Drama
525,525,Second Best,5.9,Drama
526,526,The Secret Garden,7.1,Drama
527,527,Serial Mom,6.4,Comedy
528,528,The Shadow,5.4,Adventure
529,529,Shadowlands,6.8,Drama
530,530,Short Cuts,6.9,Comedy
531,531,A Simple Twist of Fate,5.7,Drama
532,532,Sirens,5.2,Comedy
533,533,Six Degrees of Separation,6.5,Mystery
534,534,Sleepless in Seattle,6.5,Comedy
535,535,Sliver,4.9,Drama
536,536,Blade Runner,7.9,Science Fiction
537,537,Son in Law,5.6,Comedy
538,538,So I Married an Axe Murderer,6.1,Comedy
539,539,Striking Distance,5.4,Crime
540,540,Harem,4.0,History
541,541,Super Mario Bros.,4.0,Adventure
542,542,Surviving the Game,6.1,Action
543,543,Terminal Velocity,5.0,Action
544,544,Thirty Two Short Films About Glenn Gould,7.4,Drama
545,545,Threesome,6.3,Comedy
546,546,The Nightmare Before Christmas,7.6,Fantasy
547,547,The Three Musketeers,6.2,Action
548,548,Tombstone,7.4,Action
549,549,Trial by Jury,5.5,Drama
550,550,True Romance,7.5,Action
551,551,The War Room,7.3,Documentary
552,552,The Pagemaster,6.2,Fantasy
553,553,"Paris, France",6.0,Drama
554,554,"The Beans of Egypt, Maine",0.0,Sin Dato
555,555,Killer,3.0,Thriller
556,556,Welcome to the Dollhouse,6.9,Comedy
557,557,Germinal,6.3,Drama
558,558,Chasers,4.7,Comedy
559,559,Cronos,6.4,Drama
560,560,Naked in New York,4.0,Comedy
561,561,Kika,6.8,Comedy
562,562,Bhaji on the Beach,5.1,Comedy
563,563,Little Big League,6.0,Comedy
564,564,The Slingshot,6.2,Drama
565,565,Wide Eyed and Legless,0.0,TV Movie
566,566,Foreign Student,0.0,Drama
567,567,"Ciao, Professore!",7.2,Comedy
568,568,Spanking the Monkey,5.3,Comedy
569,569,The Little Rascals,6.3,Romance
570,570,À la mode,0.0,Comedy
571,571,Andre,5.0,Drama
572,572,The Escort,5.0,Thriller
573,573,Princess Caraboo,4.4,Comedy
574,574,The Celluloid Closet,7.0,History
575,575,Café au Lait,6.8,Drama
576,576,Dear Diary,6.9,Comedy
577,577,I Don't Want to Talk About It,6.0,Romance
578,578,The Brady Bunch Movie,5.9,Comedy
579,579,Home Alone,7.1,Comedy
580,580,Ghost,6.9,Fantasy
581,581,Aladdin,7.4,Animation
582,582,Terminator 2: Judgment Day,7.7,Action
583,583,Dances with Wolves,7.6,Adventure
584,584,Tough and Deadly,6.3,Thriller
585,585,Batman,7.0,Fantasy
586,586,The Silence of the Lambs,8.1,Crime
587,587,Snow White and the Seven Dwarfs,6.9,Fantasy
588,588,Beauty and the Beast,7.5,Romance
589,589,Pinocchio,6.9,Animation
590,590,Pretty Woman,7.0,Romance
591,591,Window to Paris,6.0,Comedy
592,592,The Wild Bunch,7.7,Adventure
593,593,Love and a .45,5.5,Crime
594,594,The Wooden Man's Bride,6.5,Drama
595,595,A Great Day in Harlem,7.0,Sin Dato
596,596,Bye Bye Love,6.1,Comedy
597,597,One Fine Day,6.1,Comedy
598,598,Candyman: Farewell to the Flesh,5.0,Horror
599,599,Century,5.0,Romance
600,600,Fargo,7.7,Crime
601,601,Homeward Bound II: Lost in San Francisco,6.0,Adventure
602,602,Heavy Metal,6.3,Animation
603,603,Hellraiser: Bloodline,4.9,Horror
604,604,The Pallbearer,4.6,Comedy
605,605,Jane Eyre,7.1,Drama
606,606,Loaded,4.0,Drama
607,607,Bread and Chocolate,7.1,Comedy
608,608,The Aristocats,7.1,Animation
609,609,The Flower of My Secret,6.9,Drama
610,610,Two Much,5.1,Comedy
611,611,Ed,3.6,Comedy
612,612,Scream of Stone,7.5,Adventure
613,613,My Favorite Season,6.4,Drama
614,614,A Modern Affair,5.0,Sin Dato
615,615,Condition Red,4.7,Thriller
616,616,Halfaouine: Boy of the Terraces,7.4,Comedy
617,617,A Thin Line Between Love and Hate,5.7,Comedy
618,618,The Last Supper,6.5,Comedy
619,619,Primal Fear,7.4,Crime
620,620,Rude,6.0,Sin Dato
621,621,Carried Away,5.4,Drama
622,622,All Dogs Go to Heaven 2,5.0,Romance
623,623,Land and Freedom,7.0,Drama
624,624,Denise Calls Up,6.6,Comedy
625,625,Theodore Rex,3.6,Fantasy
626,626,A Family Thing,5.6,Comedy
627,627,Frisk,3.0,Drama
628,628,Sgt. Bilko,5.5,Comedy
629,629,Jack & Sarah,5.1,Comedy
630,630,Girl 6,5.7,Comedy
631,631,Diabolique,5.4,Drama
632,632,"Little Indian, Big City",6.0,Adventure
633,633,Roula,5.0,Romance
634,634,Peanuts – Die Bank zahlt alles,4.0,Comedy
635,635,Happy Weekend,0.0,Comedy
636,636,Nelly and Monsieur Arnaud,7.1,Drama
637,637,Courage Under Fire,6.2,Drama
638,638,Mission: Impossible,6.7,Adventure
639,639,Cold Fever,7.7,Drama
640,640,Moll Flanders,6.2,Drama
641,641,The Superwife,5.3,Comedy
642,642,"301, 302",6.2,Horror
643,643,DragonHeart,6.4,Fantasy
644,644,Und keiner weint mir nach,0.0,Drama
645,645,My Mother's Courage,0.0,Drama
646,646,Eddie,5.4,Action
647,647,Yankee Zulu,6.0,Drama
648,648,Billy's Holiday,0.0,Sin Dato
649,649,Purple Noon,7.3,Crime
650,650,August,5.3,Romance
651,651,James and the Giant Peach,6.2,Adventure
652,652,Fear,6.1,Drama
653,653,Kids in the Hall: Brain Candy,5.9,Comedy
654,654,Faithful,4.8,Comedy
655,655,Underground,7.5,War
656,656,All Things Fair,6.1,War
657,657,Bloodsport II,5.2,Action
658,658,Pather Panchali,7.9,Drama
659,659,The World of Apu,8.2,Drama
660,660,Mystery Science Theater 3000: The Movie,7.0,Comedy
661,661,Tarantella,0.0,Sin Dato
662,662,Space Jam,6.5,Animation
663,663,Barbarella,5.7,Science Fiction
664,664,Hostile Intentions,8.0,Thriller
665,665,They Bite,5.5,Comedy
666,666,Some Folks Call It a Sling Blade,7.5,Drama
667,667,The Run of the Country,8.0,Drama
668,668,Alphaville,6.8,Drama
669,669,Coup de Torchon,6.8,Drama
670,670,Tigrero: A Film That Was Never Made,7.5,Documentary
